FACID,FNAME,302_CONTACT,302_PHONE,PRIMARY_CONTACT,PRIMARY_CONTACT_PHONE,PRIMARY_CONTACT_24HR,SECONDARY_CONTACT,SECONDARY_CONTACT_PHONE,SECONDARY_CONTACT_24HR
3390,Farmers Co-op Assn,Pamela Treffer,308-380-0986,Pamela Treffer,402-452-3257,308-380-0986,Ryan Bear,308-452-3257,308-440-1369
3400,NDOT Ravenna Yard,Ben Merchant,308-379-5129,John Gorecki,308-452-4222,308-390-0177,Dave F Carroll,308-452-4222,308-390-0175
3431,Gibbon Packing LLC,Shawn Tobler,308-468-7234,Charles Austen,308-468-7277,308-627-6854,Nate Sego,308-468-7228,
3445,Nebraska Central Telephone Co,Pat McIlnay,308-216-0257,Pat McIlnay,308-468-9981,308-216-0257,Paul Johnson,402-694-5101,402-604-0823
3447,Cargill AgHorizons,Jason Wiehn,308-627-5396,Jason Wiehn,308-647-5141,308-627-5396,Reece Chadwick,,509-295-3199
3455,Agricultural Services Inc,Ronald McBride,308-379-0758,Ryan R Ellston,308-583-2725,308-390-3223,Russ Pearson,308-583-2725,308-380-2325
3456,Cargill AgHorizons,Reece Chadwick,509-295-3199,Reece Chadwick,,509-295-3199,Jason Wiehn,308-627-5141,308-627-5396
3503,Pilot Flying J 901,Joey Cupp,865-474-2340,Joey Cupp,865-474-2826,,Dave Dippel,865-474-2725,865-243-0089
3743,Central Valley Ag,Brandt Anderson,800-535-5053,Brandt Anderson,402-870-0224,800-535-5053,Chris Carlson,402-870-0077,800-535-5053
3749,Midwest Service,KC Bang,402-374-2924,Thomas Hansen,402-374-1344,,Sam Hansen,402-374-1344,402-212-2172
3849,NDOT Lyons Yard,Renso Moreno,402-870-0642,Renso Moreno,402-687-2400,402-870-0642,Dan Sayre,402-494-6826,402-870-0210
3877,Frontier Cooperative,,,Jason Ekstein,,402-440-2717,,,
3878,Frontier Cooperative,,,Marty Helman,,402-480-0403,,,
3879,Frontier Cooperative,,,Justin Riha,402-538-3365,402-480-2331,,,
3885,Central Sand & Gravel Co 73,Bryan Campbell,402-510-9086,Brad Vanicek,,402-615-0769,Thomas Silknitter,,402-378-0146
3921,Roth Aerial Spraying Inc,Jackson Roth,402-761-2322,Trevor Plessel,402-761-2322,,David Roth,402-761-2322,
3975,Northside Inc,Jeff Schmid,800-367-8527,Jeff Schmid,402-367-3251,800-367-8527,Bobbi Schmid,402-367-3251,402-367-2118
4028,Frontier Cooperative,,,Seth DeWisplare,402-367-3319,402-480-3095,,,
4043,Frontier Cooperative,Dave Polacek,402-367-2948,Seth DeWisplare,402-367-3319,402-480-3562,,,
4066,Central Valley Ag,Doug Eisenmenger,800-535-5053,Kyle Neinhueser,402-542-2131,800-535-5053,Perry Miller,,402-366-4916
4084,Bob Stava Flying Service,Robert D Stava,402-545-2941,Robert D Stava,,402-545-2941,Robert D Stava,,402-545-2941
4118,Kerford Limestone Co,Dyrk Huffman,402-267-2415,Ron Herman,402-267-2415,402-405-3753,Chris Stackpole,402-267-2415,402-297-0395
4121,Frontier Cooperative,,,Dale Uhe,402-298-8265,402-235-3456,Duane Uhe,,402-227-2715
4122,Frontier Cooperative,,,Tara Price,,402-994-2585,Russ Tederman,402-789-2335,402-297-9280
4125,PCS Phosphate Company Inc,Richard Leach,815-587-2945,Richard Leach,402-267-2915,815-587-2945,Shane Hauschild,402-267-2915,402-297-4474
4126,Frontier Cooperative,,,Russ Tederman,402-789-2335,402-441-1376,Michael Bowersmith,,402-954-8140
4129,Ash Grove Cement Co,Sandy Weyers,402-267-6765,Cody Hawley,,402-867-4266,Alex Blecha,402-234-4819,402-297-3494
4213,Wilbur-Ellis Company LLC,Joseph Wathen,402-713-9750,Joseph Wathen,402-298-8550,402-679-1195,Glenn Wiles,402-298-8550,402-679-1195
4236,Frontier Cooperative,,,Tara Price,,402-994-2585,Russ Tederman,402-789-2335,402-297-9280
4248,Beaver Lake,Chad Korte,402-267-6765,Troy M Weatherby,402-235-2241,402-297-4094,Adam C Roy,,402-306-8160
4270,Nielsen Fertilizer,Daniel Nielsen,402-297-4190,Eric Nielsen,,402-416-9695,Daniel Nielsen,,402-275-3282
4279,Frontier Cooperative,,,Tim McDowell,402-867-3486,,Dave Reese,,402-209-0855
4281,Frontier Cooperative,,,Tim McDowell,402-867-3486,308-940-1135,Dave Reese,,402-209-0855
4301,Iowa Limestone Co,Daniel Connor,641-531-9544,Daniel Connor,402-267-2345,641-531-9544,Andy Gjerde,402-267-2345,402-515-8188
4315,Buckley Powder Co,Joshua Miller,402-227-5717,Joshua Miller,,402-227-5717,Jill Marrs,308-359-5136,308-378-1956
4336,NDOT Plattsmouth Yard,Connie Wiezorek,402-297-1143,Michael D Moore,402-296-0033,402-297-1715,Anthony T Jackson,,402-297-1714
4413,Plattsmouth Potable Water,Nate D Taylor,402-296-2522,,,,,,
4429,Frontier Cooperative,,,Larry Hathaway,,402-227-3085,Duane Uhe,,402-227-2715
4437,Platte River State Park,Roseann Dobesh-Degraff,402-267-6765,Adam E Johns,402-234-2217,402-581-9033,Troy Lugn,402-234-2217,402-318-4583
4565,EPOLP Greenwood Terminal,Scott R Baker,402-521-9076,Eric Randall,402-789-8802,402-521-4597,Pipeline Control,888-883-6308,800-546-3482
4643,Farmers Pride Bulk Fuel,Dawn Pochop,402-675-1775,Rod Ketelsen,,712-577-7395,Brent Andersen,402-675-2375,307-660-6122
4653,Farmers Union Co-op Gas Oil Co,Kyle Kathol,402-254-3451,Kyle Kathol,,402-254-3451,Roy Carl,,402-254-6707
4666,Central Valley Ag,Nick Hans,800-535-5053,Nick Hans,402-256-9019,800-535-5053,Jason A Loecker,402-254-3354,800-535-5053
4678,Nutrien Ag Solutions,Keith Asher,402-440-6401,Keith Asher,402-944-2436,402-440-6401,Peggy Miller,402-944-2436,402-480-0289
4737,Randolph Farm Supply Inc,Brad Bargstadt,402-360-1697,Brad Bargstadt,402-337-0509,402-360-1697,Brian Junck,402-337-0509,402-360-3313
4741,North Side Grain Co,Tim Gubbels,402-375-0875,Tim Gubbels,402-256-3738,402-375-0875,Trisha Reifenrath,402-256-3738,402-375-0938
4791,Fordyce Farmers Non-Stock,Eric F Dickes,402-640-7974,Eric F Dickes,402-357-3568,402-640-7974,Eric F Dickes,402-357-3568,402-640-7974
4893,NDOT Laurel Yard,Jennifer Faling,402-369-2656,Kenneth J Neuhalfen,402-256-3711,402-369-1291,Jennifer Faling,402-375-2078,402-369-1293
4983,Frenchman Valley Co-op Aerial,Michael D Barfield,308-414-1239,Paul Rockwell,,308-340-4636,Chance Evans,,380-340-1126
4989,Nutrien Ag Solutions,Greg Dannatt,308-414-1542,Greg Dannatt,308-882-2211,308-414-1542,Rodd Wiest,308-882-2211,308-883-2087
5055,Wauneta Crossroads LLC,Angie West,308-883-5444,Angie West,308-394-5504,308-883-5444,Janice Haarberg,308-882-6895,
5094,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Paul Rockwell,,308-352-6392,Mark Dones,,308-882-1805
5131,Midwest Custom Ag Aviation,Clifford Lakey,308-883-2769,Clifford Lakey,308-882-2902,308-883-2769,Catherine Pendleton,901-537-8766,901-262-1338
5164,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Paul Rockwell,,308-340-4636,Mark Dones,,308-882-1805
5275,Crookston Grain & Fertilizer,Chris M Danielski,402-376-5499,Chris M Danielski,402-376-3039,402-376-5499,Chris Kaup,,402-340-1287
5357,NDOT Valentine 81400,Chuck D Osborn,402-760-0648,Duane Bellin,402-322-3334,531-292-0269,Dennis J Connot,402-376-1350,402-376-3400
5394,Central Valley Ag,Chris Clingman,800-535-5053,Chris Clingman,785-534-9905,800-535-5053,Toby Fernau,402-376-3045,800-535-5053
5438,Reese Propane & Appliance,,,Eric Reese,402-376-2970,402-376-4401,Jason Rhodes,402-376-2970,605-891-3970
5456,TIGT Huntsman Station 01,Danielle Mateyka,303-763-3471,Damon Scott,,970-466-2925,Jacob Hopkin,308-254-0942,307-709-8250
5465,Egging Company,Chauncey Adams,308-249-5812,Chauncey Adams,308-884-2233,308-249-5812,Bernard Roush,563-242-4242,308-781-9867
5551,Sidney Ready-Mix,Rodney Lanka,308-289-0389,Blake Olmstead,308-254-2629,308-631-3936,Rod Havens,307-635-9005,307-631-3269
5620,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Ryan Timm,,308-249-4346,Bill Henderson,,308-882-3200
5633,Sapp Bros Sidney Truck Stop,Ginger Cowne,308-254-3096,Ginger Cowne,308-249-3215,308-254-3096,Odilon Cerenil,308-249-3026,308-254-3096
5741,Titan Machinery Inc,Scott Vath,308-254-2270,Adam Kriha,308-254-2270,308-631-4866,Sean Jeppson,308-254-2270,308-249-2636
5798,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Ryan Timm,,308-249-4346,Bill Henderson,,308-414-1434
5822,Frenchman Valley Farmers Co-op,Michael D Barfield,308-414-1239,Ryan Timm,,308-249-4346,Bill Henderson,,308-882-3200
5825,Platte Pipe Line Company LLC,Crystal Smith,218-576-4709,Eric Marcure,815-570-7551,888-449-7539,Lee Nielson,308-289-3945,888-449-7539
5855,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Jerry Overturf,402-284-2284,402-366-9032,Tammy Musgrave,,402-224-0271
5856,Fairfield Non-Stock Co-op Assn,William Nejezchleb,402-469-4924,William Nejezchleb,402-726-2361,402-469-4924,Kurt Wenske,402-726-2361,402-460-0644
5861,Cooperative Producers Inc,Tom White,308-470-1634,Tom White,402-463-6875,308-470-1634,Larry Dygert,402-463-5148,402-705-0617
5892,Nutrien Ag Solutions,Rodney Knutzen,402-469-3089,Rodney Knutzen,402-224-5255,402-469-3089,Ronnie Duncan,402-224-5255,402-224-0062
5902,Fairfield Non-Stock Co-op Assn,William Nejezchleb,402-469-4924,William Nejezchleb,402-726-2361,402-469-4924,Kurt Wenske,402-726-2361,402-460-0644
5944,Cooperative Producers Inc,Tom White,308-470-1634,Tom White,402-744-3451,308-470-1634,Larry Dygert,402-463-5148,402-705-0617
5946,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Reed D Stone,402-772-3151,402-984-5581,Larry Kroger,402-772-3151,402-762-5207
5975,US Meat Animal Research Center,Shannon K Ostdiek,402-469-4362,Shannon K Ostdiek,402-762-4197,402-469-4362,Philip C Anderson,402-762-4157,402-631-3619
5994,C & M Supply Inc,Michael G Stichka,402-621-0210,Michael G Stichka,402-226-3011,402-621-0210,Luke E Kleen,402-226-2261,402-469-0089
6003,AGP Grain Marketing LLC,Keith E Wilt,402-879-5883,Keith E Wilt,402-463-2446,402-879-5883,Mark Jorgensen,,402-879-9310
6019,Aurora Co-op Elevator Company,James Holliday,402-694-7713,Bill Hoyt,,402-469-7780,Reed D Stone,402-772-3151,402-984-5581
6080,Central NE Wood Preservers Inc,Kurt Andres,402-984-6520,Kurt Andres,402-773-4319,402-984-6520,Tony Huber,402-773-4319,402-314-8375
6102,Cooperative Producers Inc,Tom White,308-470-1634,Tom White,402-463-6875,308-470-1634,Larry Dygert,402-463-5148,402-705-0617
6117,George's 66 Service,Doug George,402-469-2245,Doug George,402-773-5561,402-469-2245,Don George,402-773-5561,402-984-5025
6169,Ag91 Energy LLC,Mark Arps,402-352-7958,LuAnn Dinslage,402-892-9821,402-380-3413,LuAnn Dinslage,402-892-9821,402-380-3413
6173,Hanel Oil Inc,Margaret Smith,402-841-1818,Margaret Smith,402-986-1313,402-841-1818,Leonard Smith,402-986-1313,402-459-0197
6264,Schuyler Co-op Assn,Joseph A Sisco,402-615-5327,Robert Speicher,402-352-2554,402-564-1424,Josh Fanning,402-352-2554,417-839-3595
6272,Cargill Meat Solutions Corp,Mike Reed,402-352-5411,Katrina Robertson,402-352-8328,402-352-5411,Jeff Machmueller,402-352-8289,402-352-5411
6296,Frontier Cooperative,,,Andy Ziemba,402-352-2471,402-480-5571,Michael Bowersmith,,402-954-8140
6312,Cooperative Supply Inc,Chris Pieper,402-499-4611,Chris Pieper,402-593-2261,402-499-4611,Wendy Rahtz,402-487-2295,402-910-7157
6405,NDOT Clarkson Yard,Austin Mrsny,402-750-5224,Daniel L McDonald,402-923-1141,402-270-6508,Austin Mrsny,402-564-4126,402-750-5224
6439,Quality Pork International Inc,Bennett Leuschen,402-213-7039,Bennett Leuschen,402-829-7203,402-213-7039,Juan Cervantes,402-372-4948,507-399-4229
6470,Nutrien Ag Solutions,David Kuester,402-372-7095,Clint Keifer,402-528-3215,402-360-5026,David Kuester,402-528-3215,402-372-7095
6638,West Point Dairy Products LLC,Darwin Purvis,402-380-4839,Darwin Purvis,402-372-5551,402-380-4839,Dean Lindner,715-267-6182,715-937-8438
6703,NDOT West Point Yard,William Hansen,402-380-0641,William Hansen,402-372-2148,402-380-0641,Chris Tuttle,402-370-3477,402-750-2991
6862,Becton Dickinson Corp,David Berge,308-872-3712,Joel Lund,308-872-3684,308-880-9182,Torey L McMullen,308-872-3786,308-643-9008
6872,Arrow Aviation Inc,William Williams,308-440-2709,William Williams,,308-440-2709,,,
6941,Paulsen Inc Redi-Mix Plant,Carlos Avalos,308-529-2504,Carlos Avalos,308-784-3333,308-529-5470,Jacob T Rush,308-784-3333,308-325-9825
7004,Trotter Grain & Fertilizer,Ronald D Jepsen,308-527-3791,Ronald D Jepsen,,308-214-1073,Larry Vincent,,308-527-3791
7048,Trotter Grain & Fertilizer Co,Mark Golter,308-991-1446,Mark Golter,308-935-1100,308-991-1446,Annette Hanshew,308-935-1100,719-351-4945
7103,Great Western Gas Co,Region 26,308-942-3449,Doug Davis,,308-215-0131,Eric McDaniel,,308-215-8032
7147,Norder Supply Inc,Tedman Norder,800-535-5053,Tanner Lubben,402-353-6175,402-984-4138,Cody Lightwine,402-759-2356,800-535-5053
7180,NDOT Arnold Yard 60600,Brady L Rosenblad,308-520-5591,Brady L Rosenblad,308-858-4403,308-520-5591,Clifford V Bryan,308-872-6733,308-530-3092
7248,NDOT Broken Bow Yard,Andy A Duryea,308-870-2957,Andy A Duryea,,308-870-2957,Clifford V Bryan,308-872-6733,308-530-3092
7274,NDOT Ansley Yard 63100,Andy A Duryea,308-870-2957,Andy A Duryea,,308-870-2957,Clifford V Bryan,308-358-4403,308-530-3092
7328,Nutrien Ag Solutions,Marty Vohs,712-259-0470,Marty Vohs,402-494-4261,712-259-0470,John Crees,402-494-4261,712-259-8415
7336,Sioux City Foundry Co,Dan Plesher,712-212-8145,Dan Plesher,712-226-1272,712-212-8145,Valerie L Corbin,712-226-1118,712-251-5666
7339,Tyson Fresh Meats Inc,William Duerksen,605-235-2639,Brandy Kjose,605-235-2799,712-333-1003,John R Hammer,605-235-3189,712-490-9738
7408,Ferrellgas,Matt Burrow,214-543-9369,Matt Burrow,888-494-2762,214-543-9369,Greg Howard,888-494-2762,515-494-5111
7573,Elementis LTP LP,John Hegarty,414-242-6949,John Hegarty,,414-242-6949,Utkarsh Patel,414-305-7460,
7797,WESTCO Propane Plant,David W Briggs,308-762-3112,Jess Wimmer,308-762-3112,308-760-7592,Austin Uhrig,308-762-3112,308-249-4210
7964,WESTCO Bulk Plant,David W Briggs,308-762-3112,Jess Wimmer,308-762-3112,308-760-7592,Austin Uhrig,308-762-3112,308-249-4210
8088,Chadron Plant,James Farinha,307-282-0809,Jason Blundell,308-383-0317,308-383-3724,Matt Hinders,641-229-8175,641-229-1245
8104,Pine Ridge Service Center,Jamie L Rivera-Haas,308-665-1172,Jamie L Rivera-Haas,308-665-2313,308-665-1172,Kathleen A Rivera,308-665-2313,308-665-5712
8111,WESTCO Propane Plant,David W Briggs,308-762-3112,Jess Wimmer,308-762-3112,308-760-7592,Austin Uhrig,308-762-3112,308-249-4210
8132,Unverferth Manufacturing Co,David Unverferth,419-303-4436,Karen Reeves,308-324-1502,308-320-0857,Rhonda Matthies,308-324-7565,308-627-5986
8150,Paulsen Corporate Headquarters,Carlos Avalos,308-529-2504,Carlos Avalos,308-784-3333,308-529-2504,Jacob T Rush,308-784-3333,308-325-9825
8191,Titan Machinery Inc,,,Quentin Cranmore,308-635-3727,308-250-2850,David Bean,308-324-5553,308-325-7997
8434,Bunge USA Grain LLC,Joe Rettele,531-217-9749,Joe Rettele,308-325-7010,531-217-9749,Aaron Richards,308-293-9367,
8443,Nutrien Ag Solutions,Jason Schneider,308-529-3020,Travis A Brock,308-784-3004,308-325-2747,Jason Schneider,308-784-3004,308-529-3020
8484,NebraskaLand Truck Center,Tim Meyer,308-324-6374,Tim Meyer,308-324-2338,402-923-0687,Travis Wright,308-324-2324,308-324-6374
8512,NPPD Canaday Station,Kirk Evert,308-535-5924,Kirk Evert,308-529-2008,308-535-5924,Robert R Urban,,308-324-4581
8603,NDOT Lexington Yard,Trent Hosick,308-325-2250,Trent Hosick,308-324-3885,308-833-3975,Art Kiger,308-324-3885,308-325-2501
8622,Dawson County Maintenance Shop,Andy Durya,308-324-3011,Tim Wolf,308-324-4256,308-324-3011,Andy Durya,308-324-3092,308-324-3011
8659,Dawson County Shop,Andy Durya,308-324-3011,Shane Sage,308-324-3092,308-324-3011,Andy Durya,308-324-3092,308-324-3011
8669,TIGT Lexington Compressor Sta,Danielle Mateyka,303-763-3471,Don Muench,,308-386-8247,Jerold Looney,,307-399-4633
8744,Tyson Fresh Meats Inc,Jal Deng,503-766-8132,Dave Roemmich,308-324-8201,308-325-6101,Jal Deng,308-324-8291,503-766-8132
